"","latitude","longitude","elevation","aspect","slope","meso_rel","class","browsing_index","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elevation_aws_wgs84","slope_aws_wgs84","northness_aws_wgs84","eastness_aws_wgs84","tri_aws_wgs84","hli_aws_wgs84","twi_aws_wgs84","tpimeso_aws_wgs84","treeheight","elevation_srtm_wgs84","slope_srtm_wgs84","northness_srtm_wgs84","eastness_srtm_wgs84","tri_srtm_wgs84","hli_srtm_wgs84","tpi_srtm_wgs84","class_code"
"T1S3S0900",-41.62973,-71.37469,897,90,15,NA,"Shrubland","low",7.3416428565979,12.9721527099609,1.73130941390991,910.857238769531,157.382461547852,26.9287452697754,55.342212677002,401.145721435547,100.351387023926,100.351387023926,401.145721435547,11.7369775772095,49.7280578613281,454.471282958984,20.6904315948486,-2.91190910339355,23.6023406982422,1.73130941390991,12.9721527099609,923.11474609375,18.4423561096191,-0.688621520996094,0.722506642341614,11.8466539382935,0.449483603239059,5.00722551345825,5.98335695266724,3.85179424285889,943.801818847656,4.47429227828979,-0.0780849829316139,-0.376342058181763,332.494995117188,0.536035060882568,-94.0205917358398,3
"T1S3S1000",-41.62843,-71.3794,982,335,23,"flat","Shrubland","no_use",7.12130308151245,12.7381296157837,1.52995979785919,897.40185546875,155.960723876953,26.7328453063965,55.2328910827637,395.635559082031,99.3129043579102,99.3129043579102,395.635559082031,11.6732110977173,49.7057609558105,453.529052734375,20.3928966522217,-3.09158301353455,23.4844799041748,1.52995979785919,12.7381296157837,1001.58746337891,20.3968982696533,-0.963864803314209,0.0800115689635277,11.7858943939209,0.531450688838959,5.92101335525513,7.89804792404175,1.0417093038559,997.062622070312,5.92556810379028,-0.970120131969452,0.226051867008209,295.529418945312,0.477432876825333,-30.0623188018799,3
"T1S3S1100",-41.62399,-71.37788,1090,140,24,"irreg","Subalpine forest","low",6.68683958053589,12.2851705551147,1.11567580699921,868.616516113281,150.737274169922,25.3449630737305,54.9544372558594,383.606567382812,95.6148147583008,95.6148147583008,383.606567382812,11.5859069824219,49.4726829528809,452.299072265625,19.8920764923096,-3.52627873420715,23.4183559417725,1.11567580699921,12.2851705551147,1118.83776855469,23.1928157806396,-0.824179112911224,0.559358417987823,14.7741870880127,0.41591015458107,5.80492115020752,8.67179012298584,8.30611324310303,1086.62023925781,9.12936496734619,-0.779254019260406,0.34260019659996,390.312316894531,0.440400540828705,15.9867706298828,9
"T1S3S1200",-41.6219,-71.38049,1180,145,14,"flatcx","Subalpine forest","low",6.3539924621582,11.9353456497192,0.801435470581055,848.915161132812,147.317337036133,24.5077991485596,54.688907623291,375.190765380859,93.4176864624023,93.4176864624023,375.190765380859,11.5128202438354,49.3539505004883,451.073852539062,19.4897632598877,-3.83708882331848,23.3268527984619,0.801435470581055,11.9353456497192,1214.02844238281,16.3181209564209,-0.945736527442932,0.313760668039322,9.3461856842041,0.524445176124573,5.08278942108154,7.29775190353394,20.358528137207,1160.05224609375,10.9074697494507,-0.893744885921478,0.311397641897202,418.522979736328,0.428797543048859,61.1858139038086,9
"T1S3S1300",-41.61841,-71.38014,1274,145,15,"irreg","Subalpine forest","moderate",5.99096536636353,11.5542087554932,0.455310434103012,831.199768066406,144.38020324707,23.4993076324463,54.4678115844727,367.278259277344,91.1425399780273,91.1425399780273,367.278259277344,11.4396734237671,49.2811546325684,449.768249511719,19.0595684051514,-4.15344285964966,23.2130126953125,0.455310434103012,11.5542087554932,1309.21789550781,20.0802364349365,-0.551156878471375,0.833947718143463,12.651782989502,0.448495596647263,5.3479437828064,5.83130598068237,20.3652038574219,1237.73864746094,11.0207443237305,-0.848745822906494,0.395935863256454,425.107940673828,0.422543674707413,91.5250244140625,9
"T1S3S1400",-41.61457,-71.3812,1395,145,11,"flatcx","Subalpine forest","low",5.6362886428833,11.1765546798706,0.113794654607773,819.212890625,142.762756347656,22.569019317627,54.2776412963867,361.604156494141,89.5735626220703,89.5735626220703,361.604156494141,11.3681831359863,49.2641716003418,448.259490966797,18.6279754638672,-4.44791698455811,23.0758934020996,0.113794654607773,11.1765546798706,1407.03295898438,9.01385498046875,-0.904004633426666,0.414387285709381,5.35908889770508,0.589906871318817,7.13515663146973,3.255042552948,14.3157539367676,1313.83630371094,10.2678174972534,-0.761928737163544,0.256351143121719,404.113952636719,0.454659134149551,112.581359863281,9
"T1S3S1500",-41.60295,-71.37383,1485,130,14,"flatcx","Subalpine forest","moderate",5.48614454269409,11.0111770629883,-0.0260932799428701,819.561401367188,144.713180541992,22.2985210418701,54.6380004882812,362.608734130859,89.5970458984375,89.5970458984375,362.608734130859,11.3201169967651,49.2198333740234,447.0478515625,18.4070129394531,-4.59214401245117,22.9991588592529,-0.0260932799428701,11.0111770629883,1516.10900878906,8.34705352783203,-0.985379874706268,0.112203642725945,4.25702714920044,0.624243259429932,5.41781616210938,4.12299299240112,9.72702312469482,1339.25512695312,8.88875389099121,0.0082449596375227,0.973167181015015,369.244750976562,0.467641413211823,105.957427978516,9
"T1S4N1200",-41.669028,-71.230889,1240,335,17,"flatcx","Shrubland","low",5.84538698196411,11.5563116073608,0.10733725130558,762.110595703125,143.631530761719,20.2190475463867,61.044677734375,357.204376220703,76.4197769165039,76.4197769165039,357.204376220703,11.7363185882568,49.2577095031738,462.990570068359,19.2953109741211,-4.53099060058594,23.826301574707,0.10733725130558,11.5563116073608,1229.58837890625,17.6897583007812,0.992847740650177,-0.106108978390694,8.80072402954102,0.881440699100494,7.52012825012207,-8.61237907409668,0,1263.94970703125,6.54866313934326,0.914638757705688,-0.0614848658442497,284.262725830078,0.602309167385101,-4.46076965332031,3
"T1S4N1300",-41.67054,-71.22955,1297,350,23,"flatcx","Shrubland","low",5.70965433120728,11.4110078811646,-0.0241910852491856,758.823120117188,143.958267211914,20.0325508117676,61.1652488708496,356.315002441406,76.0850524902344,76.0850524902344,356.315002441406,11.7192897796631,49.2335929870605,462.509643554688,19.1312923431396,-4.67213487625122,23.8034248352051,-0.0241910852491856,11.4110078811646,1310.80187988281,24.7943820953369,0.959247291088104,-0.279123902320862,14.2587041854858,0.941818714141846,6.9106822013855,-10.5863990783691,0,1295.625,7.30619955062866,0.994335830211639,-0.0626299232244492,296.049041748047,0.610089898109436,19.3220729827881,3
"T1S4N1400",-41.67289,-71.22945,1395,0,24,"flat","Shrubland","no_use",5.57062435150146,11.2599487304688,-0.152109190821648,757.281677246094,144.027374267578,19.7519798278809,61.1708068847656,355.916259765625,75.7793579101562,75.7793579101562,355.916259765625,11.6991491317749,49.2589530944824,461.670837402344,18.9521198272705,-4.79827642440796,23.750394821167,-0.152109190821648,11.2599487304688,1414.76721191406,13.5893650054932,0.983544588088989,0.177732139825821,7.13170194625854,0.824025094509125,5.12726163864136,-6.52566432952881,0.302541553974152,1327.14245605469,6.7199182510376,0.843807280063629,0.171380907297134,280.509094238281,0.591460824012756,32.4477996826172,3
